id,created_at,user_id,screen_name,text
1070334488704638977,2018-12-05 15:10:02,4824470805,ElisaChprd,b'RT @thegraphicone: \xf0\x9f\x8c\xbcSahlo Folina Lockscreen\xf0\x9f\x8c\xbc\n\n@tylerrjoseph @joshuadun you\xe2\x80\x99re not alone\n\nStandard and iPhoneX sizes https://t.co/MBMMWxyXBN'
1070332559236579328,2018-12-05 15:02:22,935782026963165184,stayjin79,b'RT @whitestonedome: Dome Fix for iPhone X _ Full version https://t.co/GfZjVLs96c  @YouTube\n#DomeFixFuntion you can cover the minor scratche\xe2\x80\xa6'
1070331937766682624,2018-12-05 14:59:54,3207671591,tracySprint,b'RT @sprintnews: More Fantastic Holiday Offers Available from @Sprint \xe2\x80\x93 Get 50% Off #iPhoneX with #SprintFlex! https://t.co/n5BmiWZTIs https\xe2\x80\xa6'
1070331913137737733,2018-12-05 14:59:48,893235750795399168,TecKitchenGh,"b'#HuaweiMate20pro beat them all as the BEST PHONE CAMERA. With the likes of the #Pixel2, #Pixel3, #iPhoneX, and\xe2\x80\xa6 https://t.co/QZSr2nw8dx'"
1070330908648136709,2018-12-05 14:55:49,357352093,Marv_PAX,b'RT @Marv_PAX: Shot On An #iPhoneX @apple\n\nBLOODMOON \xf0\x9f\x92\x89\xf0\x9f\x8c\x99\n\nOUT NOW\n\nMiami Has The Best Artist/Creatives\n\nhttps://t.co/MSq6Ub3UCB https://t.co/\xe2\x80\xa6'
1070330756717797377,2018-12-05 14:55:12,375223913,NikitaaG_,b'For my love of purple skies \xf0\x9f\x92\x9c\n\n#beautiful #iphonex https://t.co/X5HU6qKQ2H'
1070329670392938496,2018-12-05 14:50:53,856805168524005376,bestproductsell,b'Save $3.01 On Apexel Phone #Photography Kit-Flexible Phone Tripod +Remote Shutter +4 in 1 Lens Kit-High Power 18X M\xe2\x80\xa6 https://t.co/bH1LFhovzV'
1070328710937632769,2018-12-05 14:47:05,931335960,Itz_kbdoss,"b'RT @Itz_kbdoss: If u mistakenly buy an iphoneX koh,\xf0\x9f\xa4\x94U\'ll b d Photographer of your Village \xf0\x9f\xa4\x97 ""Kowa yattaho samin portrait"" \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x8f\x83\xf0\x9f\x8f\x83'"
1070328671444107265,2018-12-05 14:46:55,786597044148248576,707taetae,"b'RT @GiveawayPrism: 2018 #IPHONEX #Giveaway!\n\n1. FOLLOW ME.\n2. RETWEET THIS POST\n3. COMMENT ""DONE"" BELOW.\n\nI will be announcing 3 WINNERS in\xe2\x80\xa6'"
1070328610068684800,2018-12-05 14:46:41,40391468,joy_twinz,b'RT @__jim_in: [#JimInNews] 180517\n\n#JIMIN is the second most engaged hashtag for 2017 beating TheLastJedi and iPhoneX \xf0\x9f\x8e\x89\n\nJimin for top soci\xe2\x80\xa6'
1070327229777895424,2018-12-05 14:41:11,280168940,MaRoD_official,b'Love this city! #swipe\xe2\xac\x85\xef\xb8\x8f #amsterdam #netherlands #cities #places #trips #travel #europe #instatravel #instagood\xe2\x80\xa6 https://t.co/hGIwXK9h8e'
1070327041038397440,2018-12-05 14:40:26,4053469098,RKive912,b'RT @__jim_in: [#JimInNews] 180517\n\n#JIMIN is the second most engaged hashtag for 2017 beating TheLastJedi and iPhoneX \xf0\x9f\x8e\x89\n\nJimin for top soci\xe2\x80\xa6'
1070326649332346881,2018-12-05 14:38:53,448314715,NiellaDelight,b'So this happened my own music playing on one of the @STATIONHEAD stations GASKC salute KC!!! #TwiceBaked\xe2\x80\xa6 https://t.co/tZF9jqAUnB'
1070326622262358016,2018-12-05 14:38:47,1634687306,vlics,"b'RT @bestproductsell: Save $10.11 On Belkin Boost Up Wireless Charging Pad 7.5W \xe2\x80\x93 Wireless #Charger for #iPhoneXs, XS Max, XR, X, 8, 8 Plus,\xe2\x80\xa6'"
1070326558479380481,2018-12-05 14:38:31,856805168524005376,bestproductsell,"b'Save $10.11 On Belkin Boost Up Wireless Charging Pad 7.5W \xe2\x80\x93 Wireless #Charger for #iPhoneXs, XS Max, XR, X, 8, 8 Pl\xe2\x80\xa6 https://t.co/Jr5limSP5L'"
1070326187707125767,2018-12-05 14:37:03,882825386211635202,CarlDeaniel,b'RT @sabelqq: omggg. is this real? help me guys!!! pls pls i really need 1k likes and 1k comments to have an iphoneX\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f support me!!!! th\xe2\x80\xa6'
1070326007356424192,2018-12-05 14:36:20,146978831,b1ackbarry,b'RT @Marv_PAX: Shot On An #iPhoneX @apple\n\nBLOODMOON \xf0\x9f\x92\x89\xf0\x9f\x8c\x99\n\nOUT NOW\n\nMiami Has The Best Artist/Creatives\n\nhttps://t.co/MSq6Ub3UCB https://t.co/\xe2\x80\xa6'
1070325629072171008,2018-12-05 14:34:50,888707531278888961,DEREKDOTETTEH,b'@johndumelo1 Will you give it to me ?\niPhoneX'
1070325384292507648,2018-12-05 14:33:51,976477431098900487,simoilblasco1,b'RT @wallsbyjfl: Street Art #Mobile Pack shot by JFL \n\n#homescreen #android #ios #iphonex #iphone #pixel2xl #samsung #motorola #lg #wallpape\xe2\x80\xa6'
1070325048647565313,2018-12-05 14:32:31,357352093,Marv_PAX,b'Shot On An #iPhoneX @apple\n\nBLOODMOON \xf0\x9f\x92\x89\xf0\x9f\x8c\x99\n\nOUT NOW\n\nMiami Has The Best Artist/Creatives\n\nhttps://t.co/MSq6Ub3UCB https://t.co/3tijiwzTKx'
1070325017316012032,2018-12-05 14:32:24,579998080,legend_arsalan,b'@AppleSupport My iPhoneX with screen issues was fixed by Apple experts last week and I had received my device yeste\xe2\x80\xa6 https://t.co/vVsbI49Em2'
1070324067339825152,2018-12-05 14:28:37,860268988928061441,SprintIAEPaul,b'RT @sprintnews: More Fantastic Holiday Offers Available from @Sprint \xe2\x80\x93 Get 50% Off #iPhoneX with #SprintFlex! https://t.co/n5BmiWZTIs https\xe2\x80\xa6'
1070323913899589632,2018-12-05 14:28:01,15298399,sprintnews,b'More Fantastic Holiday Offers Available from @Sprint \xe2\x80\x93 Get 50% Off #iPhoneX with #SprintFlex!\xe2\x80\xa6 https://t.co/DdjUZ5aRLk'
1070323661725425664,2018-12-05 14:27:01,999288449139204097,MichelCombes,b'Don\xe2\x80\x99t miss this - switch to @Sprint and get the #iPhoneX for 50% off with #SprintFlex! https://t.co/zSCSPIIz8L https://t.co/dsbN99FcnJ'
1070322995409772545,2018-12-05 14:24:22,2839148569,OUTROJE0N,b'RT @__jim_in: [#JimInNews] 180517\n\n#JIMIN is the second most engaged hashtag for 2017 beating TheLastJedi and iPhoneX \xf0\x9f\x8e\x89\n\nJimin for top soci\xe2\x80\xa6'
1070321959798476800,2018-12-05 14:20:15,1002606805044772864,Jiminieisart,b'RT @__jim_in: [#JimInNews] 180517\n\n#JIMIN is the second most engaged hashtag for 2017 beating TheLastJedi and iPhoneX \xf0\x9f\x8e\x89\n\nJimin for top soci\xe2\x80\xa6'
1070321508793245696,2018-12-05 14:18:27,898144726058123264,ninemare99,b'RT @__jim_in: [#JimInNews] 180517\n\n#JIMIN is the second most engaged hashtag for 2017 beating TheLastJedi and iPhoneX \xf0\x9f\x8e\x89\n\nJimin for top soci\xe2\x80\xa6'
1070321501855899648,2018-12-05 14:18:26,4899402246,kristyndante,"b'RT @kristyndante: Justin ""Piper""\nClaris Works \nGoogle Earth\nGoogle Drive\nGoogle Cloud\nGoogle Pixel 1,2,3\nGoogle G Suite = Justin G Piper\nGo\xe2\x80\xa6'"
1070319245135921153,2018-12-05 14:09:28,880693028956012544,UtdAll,b'RT @fresk0_: Tonight. #SpacePurple \xef\xa3\xbf Such a beautiful theme. HS widget \xf0\x9f\x8e\x88@Payrun76 LS and Alt HS widgets @ev_ynw Walls #LiquidLoungeVol2 #wh\xe2\x80\xa6'
1070317755864367104,2018-12-05 14:03:33,936975188058628096,TBizzle_IceBurg,"b""WIll be watching Mr. @darrwest. :) Maybe I'll gain answers as to why my iphoneX doesn't function well in that categ\xe2\x80\xa6 https://t.co/reRHMZB2HD"""
1070317279269830656,2018-12-05 14:01:39,120892754,CSRACruisers,"b'@9to5mac, yall showed a charging stand that would hold/charge the iPhoneX, Apple Watch, and Airpods all at the same\xe2\x80\xa6 https://t.co/y9GkTo0Is8'"
1070315416852094976,2018-12-05 13:54:15,962998679157133312,valderama_belle,b'RT @__jim_in: [#JimInNews] 180517\n\n#JIMIN is the second most engaged hashtag for 2017 beating TheLastJedi and iPhoneX \xf0\x9f\x8e\x89\n\nJimin for top soci\xe2\x80\xa6'
1070315120503463936,2018-12-05 13:53:04,22994681,danzweben,b'music &amp; movement familiesfirstbrooklyn today #singer #songwriter #blogger #teach #music #runner #movement #brooklyn\xe2\x80\xa6 https://t.co/sl5tT21lwo'
1070314873140047872,2018-12-05 13:52:05,858168138109562880,SalameroAndrei,b'RT @sabelqq: omggg. is this real? help me guys!!! pls pls i really need 1k likes and 1k comments to have an iphoneX\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f support me!!!! th\xe2\x80\xa6'
